periodo,banco,sector,creditos_miles,fecha
2020-12,Interbank,Intermediación Financiera,752222.58,2020-12-01
2020-12,Mibanco,Intermediación Financiera,8039.75,2020-12-01
2020-12,GNB,Intermediación Financiera,150473.39,2020-12-01
2020-12,Falabella,Intermediación Financiera,0.0,2020-12-01
2020-12,Santander,Intermediación Financiera,187276.14,2020-12-01
2020-12,Ripley,Intermediación Financiera,0.0,2020-12-01
2020-12,Azteca,Intermediación Financiera,0.0,2020-12-01
2020-12,ICBC,Intermediación Financiera,54295.9,2020-12-01
2020-12,Bank of China,Intermediación Financiera,0.0,2020-12-01
2020-12,BBVA,"Actividades Inmobiliarias, Empresariales y de Alquiler",5959732.97,2020-12-01
2020-12,Comercio,"Actividades Inmobiliarias, Empresariales y de Alquiler",36665.22,2020-12-01
2020-12,BCP,"Actividades Inmobiliarias, Empresariales y de Alquiler",11300802.87,2020-12-01
2020-12,Pichincha,"Actividades Inmobiliarias, Empresariales y de Alquiler",466121.87,2020-12-01
2020-12,BanBif,"Actividades Inmobiliarias, Empresariales y de Alquiler",1100962.02,2020-12-01
2020-12,Scotiabank,"Actividades Inmobiliarias, Empresariales y de Alquiler",4748228.35,2020-12-01
2020-12,Citibank,"Actividades Inmobiliarias, Empresariales y de Alquiler",30165.55,2020-12-01
2020-12,Interbank,"Actividades Inmobiliarias, Empresariales y de Alquiler",4880225.15,2020-12-01
2020-12,Mibanco,"Actividades Inmobiliarias, Empresariales y de Alquiler",997390.11,2020-12-01
2020-12,GNB,"Actividades Inmobiliarias, Empresariales y de Alquiler",83601.55,2020-12-01
2020-12,Falabella,"Actividades Inmobiliarias, Empresariales y de Alquiler",0.0,2020-12-01
2020-12,Santander,"Actividades Inmobiliarias, Empresariales y de Alquiler",1035746.94,2020-12-01
2020-12,Ripley,"Actividades Inmobiliarias, Empresariales y de Alquiler",0.0,2020-12-01
2020-12,Azteca,"Actividades Inmobiliarias, Empresariales y de Alquiler",0.0,2020-12-01
2020-12,ICBC,"Actividades Inmobiliarias, Empresariales y de Alquiler",373.01,2020-12-01
2020-12,Bank of China,"Actividades Inmobiliarias, Empresariales y de Alquiler",0.0,2020-12-01
2020-12,BBVA,Administración Pública y Defensa,206019.67,2020-12-01
2020-12,Comercio,Administración Pública y Defensa,1062.43,2020-12-01
2020-12,BCP,Administración Pública y Defensa,175645.07,2020-12-01
2020-12,Pichincha,Administración Pública y Defensa,693.82,2020-12-01
2020-12,BanBif,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Scotiabank,Administración Pública y Defensa,215286.27,2020-12-01
2020-12,Citibank,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Interbank,Administración Pública y Defensa,157168.78,2020-12-01
2020-12,Mibanco,Administración Pública y Defensa,4623.35,2020-12-01
2020-12,GNB,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Falabella,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Santander,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Ripley,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Azteca,Administración Pública y Defensa,0.0,2020-12-01
2020-12,ICBC,Administración Pública y Defensa,0.0,2020-12-01
2020-12,Bank of China,Administración Pública y Defensa,0.0,2020-12-01
2020-12,BBVA,Enseñanza,986281.3,2020-12-01
2020-12,Comercio,Enseñanza,12224.76,2020-12-01
2020-12,BCP,Enseñanza,1765227.03,2020-12-01
2020-12,Pichincha,Enseñanza,3148.59,2020-12-01
2020-12,BanBif,Enseñanza,290626.14,2020-12-01
2020-12,Scotiabank,Enseñanza,1188748.25,2020-12-01
2020-12,Citibank,Enseñanza,0.0,2020-12-01
2020-12,Interbank,Enseñanza,362638.37,2020-12-01
2020-12,Mibanco,Enseñanza,58323.26,2020-12-01
2020-12,GNB,Enseñanza,3116.31,2020-12-01
2020-12,Falabella,Enseñanza,0.0,2020-12-01
2020-12,Santander,Enseñanza,101095.34,2020-12-01
2020-12,Ripley,Enseñanza,0.0,2020-12-01
2020-12,Azteca,Enseñanza,0.0,2020-12-01
2020-12,ICBC,Enseñanza,0.0,2020-12-01
2020-12,Bank of China,Enseñanza,0.0,2020-12-01
2020-12,BBVA,Servicios Sociales y Salud,819099.18,2020-12-01
2020-12,Comercio,Servicios Sociales y Salud,5546.2,2020-12-01
2020-12,BCP,Servicios Sociales y Salud,647796.0,2020-12-01
2020-12,Pichincha,Servicios Sociales y Salud,34689.34,2020-12-01
2020-12,BanBif,Servicios Sociales y Salud,47455.14,2020-12-01
2020-12,Scotiabank,Servicios Sociales y Salud,279469.78,2020-12-01
2020-12,Citibank,Servicios Sociales y Salud,370.09,2020-12-01
2020-12,Interbank,Servicios Sociales y Salud,65452.1,2020-12-01
2020-12,Mibanco,Servicios Sociales y Salud,101003.55,2020-12-01
2020-12,GNB,Servicios Sociales y Salud,1897.0,2020-12-01
2020-12,Falabella,Servicios Sociales y Salud,0.0,2020-12-01
2020-12,Santander,Servicios Sociales y Salud,9657.42,2020-12-01
2020-12,Ripley,Servicios Sociales y Salud,0.0,2020-12-01
2020-12,Azteca,Servicios Sociales y Salud,0.0,2020-12-01
2020-12,ICBC,Servicios Sociales y Salud,0.0,2020-12-01
2020-12,Bank of China,Servicios Sociales y Salud,0.0,2020-12-01
2020-12,BBVA,Otras Actividades de Servicios Comunitarios,937059.96,2020-12-01
2020-12,Comercio,Otras Actividades de Servicios Comunitarios,8525.54,2020-12-01
2020-12,BCP,Otras Actividades de Servicios Comunitarios,7684600.62,2020-12-01
2020-12,Pichincha,Otras Actividades de Servicios Comunitarios,84902.03,2020-12-01
2020-12,BanBif,Otras Actividades de Servicios Comunitarios,112570.49,2020-12-01
2020-12,Scotiabank,Otras Actividades de Servicios Comunitarios,891960.03,2020-12-01
2020-12,Citibank,Otras Actividades de Servicios Comunitarios,10.04,2020-12-01
2020-12,Interbank,Otras Actividades de Servicios Comunitarios,318629.07,2020-12-01
2020-12,Mibanco,Otras Actividades de Servicios Comunitarios,210423.34,2020-12-01
2020-12,GNB,Otras Actividades de Servicios Comunitarios,64457.9,2020-12-01
2020-12,Falabella,Otras Actividades de Servicios Comunitarios,0.83,2020-12-01
2020-12,Santander,Otras Actividades de Servicios Comunitarios,26694.79,2020-12-01
2020-12,Ripley,Otras Actividades de Servicios Comunitarios,0.0,2020-12-01
2020-12,Azteca,Otras Actividades de Servicios Comunitarios,0.0,2020-12-01
2020-12,ICBC,Otras Actividades de Servicios Comunitarios,0.0,2020-12-01
2020-12,Bank of China,Otras Actividades de Servicios Comunitarios,0.0,2020-12-01
2020-12,BBVA,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,642687.93,2020-12-01
2020-12,Comercio,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,3998.25,2020-12-01
2020-12,BCP,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,12725.24,2020-12-01
2020-12,Pichincha,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,493638.3,2020-12-01
2020-12,BanBif,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,136197.14,2020-12-01
2020-12,Scotiabank,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,800015.26,2020-12-01
2020-12,Citibank,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Interbank,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,40434.78,2020-12-01
2020-12,Mibanco,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,323.86,2020-12-01
2020-12,GNB,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Falabella,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Santander,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Ripley,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Azteca,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,ICBC,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2020-12,Bank of China,Hogares Privados c/Serv. Doméstico y Órganos Extraterritoriales,0.0,2020-12-01
2021-12,BBVA,"Agricultura, Ganadería, Caza y Silvicultura",2727397.85,2021-12-01
2021-12,Comercio,"Agricultura, Ganadería, Caza y Silvicultura",40593.42,2021-12-01
